term,counts
covid 19,558275
19 vaccine,34045
19 vaccination,22538
19 pandemic,17298
19 cases,16255
06 2021,13883
19 vaccines,13649
2021 06,13474
covid19 vaccine,12316
delta variant,11618
appointments available,10834
19 di,10611
available cvs,10273
vaccination appointments,10166
cvs near,10036
covid19 coronavirus,9863
sign 2021,9838
new covid,9786
coronavirus covid19,9575
casos covid,9403
new cases,9340
kasus covid,8263
nuevos casos,8029
vaksinasi covid,7521
covid19 pandemic,7205
penyebaran covid,6825
june15coup whatshappeninginmyanmar,6500
get vaccinated,6474
unfetteredaccessforaids june15coup,6248
protokol kesehatan,6239
pa sign,6184
fully vaccinated,6175
coronavirus pandemic,6105
19 virus,5939
last year,5927
24 horas,5756
due covid,5754
da covid,5569
600 000,5539
19 restrictions,5175
health care,5066
covid19 cases,4917
vacunación covid,4917
sars cov,4867
vacuna covid,4842
public health,4815
copa américa,4742
vaccine doses,4676
últimas 24,4671
age limit,4671
cowin covid19,4606
2021 vaccine,4605
pin code,4600
covid19 pune,4600
dates available,4593
min age,4589
dose1 capacity,4588
vaccinepune cowin,4588
vaccine vaccinepune,4588
dose2 capacity,4588
whatshappeninginmyanmar june14coup,4554
variante delta,4506
tetap prokes,4455
vaksinasi1juta1haripolri perketat,4453
coronavirus cases,4352
get covid,4345
24 hours,4336
muslim ban,4294
coronavirus vaccine,4229
19 deaths,4183
dosis vacuna,4060
death toll,4039
june 2021,4030
whatshappeninginmyanmar june16coup,3897
suffering covid,3875
md sign,3852
virus whatshappeninginmyanmar,3824
people suffering,3791
active cases,3783
june16coup unfetteredaccessforaids,3758
myanmar people,3719
casos positivos,3716
min aung,3696
aung hlaing,3696
cruel min,3684
hlaing virus,3683
coronavirus covid,3679
vacunas covid,3645
third wave,3639
new york,3600
last 24,3514
positive covid,3507
virus cruel,3437
spread covid,3362
new coronavirus,3355
500 mil,3350
boris johnson,3342
perketat ppkm5m,3322
amp covid,3317
covid19 vaccines,3289
19 patients,3250
polriperketatppkmvaksin tetap,3216
casos coronavirus,3214
casos activos,3209
covid19 vaccination,3184
19 dan,3181
care need,3170
united states,3168
plan health,3154
need leaders,3145
sac plan,3144
need sac,3142
sac need,3140
justice unfetteredaccessforaids,3139
leaders justice,3138
limit 18,3114
pandemia covid19,3093
via youtube,3061
16 06,3041
whatshappeninginmyanmar jun15coup,3021
dose covid,3007
positif covid,2963
ban covid,2923
pandemia covid,2920
covid covid19,2917
pandemi covid,2912
lonjakan kasus,2900
cases covid,2894
19 em,2885
housedemocrats whitehouse,2879
18 06,2866
tested positive,2850
mencegah penyebaran,2844
wuhan lab,2840
covid19 corona,2840
penanganan covid,2832
19 06,2818
whatshappeninginmyanmar june17coup,2813
first dose,2812
coronavirus argentina,2807
covid19 covid_19,2800
lab leak,2784
keepingourpromiseact hr3548,2782
19 vaccinations,2761
contagios covid,2740
capacity dose2,2740
vaksin covid,2738
new covid19,2721
vacinação covid,2701
juni 2021,2669
17 06,2657
15 06,2634
nuevos contagios,2615
โคว ด19,2605
due covid19,2595
coronavirus restrictions,2591
vacina covid,2585
pandemia coronavirus,2584
virus covid,2569
muertes covid,2566
military dictatorship,2544
whatshappeninginmyanmar june18coup,2541
covid period,2532
dv2020 dv2021,2530
gt gt,2529
season amp,2527
need help,2524
period myanmar,2521
dictatorship unfetteredaccessforaids,2521
myanmar ppl,2521
raining season,2521
despite raining,2520
overthrow military,2519
ppl protest,2518
protest overthrow,2518
seek support,2514
covishield min,2498
vaccinated covid,2490
